,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,g1,g2,g3,g4,g5,g6,g7,g11,g13,g12
s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,
r2,s24,,,,,,,,,,,,,,,,,,,,,,,,,r2,,r2,,,,,,,,,,,
r4,r4,s25,s26,,,,,,,,,,,,,,,,,,,,,,,r4,,r4,,,,,,,,,,,
r7,r7,r7,r7,s27,s28,s29,s30,,,,,,,,,,,,,,,,,,,r7,,r7,,,,,,,,,,,
r12,r12,r12,r12,r12,r12,r12,r12,s31,s32,,,,,,,,,,,,,,,,,r12,,r12,,,,,,,,,,,
r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,s33,s34,s35,,,,,,,,,,,,,,r15,,r15,,,,,,,,,,,
r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,,,r19,,r19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,s14,,,,,,,,,,,,g36
,,,,,,,,,,,,,,,,,,,,,,,,,,,s14,,,,,,,,,,,,g37
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,,,g38,g11,g13,g12
r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,,,,,,,,,,,,,,r23,,r23,,,,,,,,,,,
r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,,s39,s40,,,,,,,,,r35,,r35,,,,,,,,,,,
r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,r26,,r26,,,,,,,,,,,
r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,r36,r36,,,,,,,,,r36,,r36,,,,,,,,,,,
r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,r27,,r27,,,,,,,,,,,
r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,r28,,r28,,,,,,,,,,,
r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,,,,,,,,,,,,,,r29,,r29,,,,,,,,,,,
r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,r30,,r30,,,,,,,,,,,
r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,r31,,r31,,,,,,,,,,,
r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,r32,,r32,,,,,,,,,,,
r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,r33,,r33,,,,,,,,,,,
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,g41,g2,g3,g4,g5,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,g42,g3,g4,g5,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,g43,g4,g5,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,g44,g5,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,g45,g5,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,g46,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,g47,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,g48,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,g49,g6,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,,g50,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,,g51,g7,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,,,g52,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,,,g53,g11,g13,g12
,,,,,,,,,,,,,s8,s9,s10,,,s15,s16,s17,s18,s19,s20,s21,s22,,s14,,,,,,,,,g54,g11,g13,g12
r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,,,,,,,,,,,,,,r20,,r20,,,,,,,,,,,
r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,r21,,r21,,,,,,,,,,,
r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,,,r22,,r22,,,,,,,,,,,
r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,,,,,,,,,,,,,,r24,,r24,,,,,,,,,,,
r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,,,,,,,,,,,,,,r25,,r25,,,,,,,,,,,
s23,,,,,,,,,,,,,,,,,,,,,,,,,,s55,,,,,,,,,,,,,
r1,s24,,,,,,,,,,,,,,,,,,,,,,,,,r1,,r1,,,,,,,,,,,
r3,r3,s25,s26,,,,,,,,,,,,,,,,,,,,,,,r3,,r3,,,,,,,,,,,
r5,r5,r5,r5,s27,s28,s29,s30,,,,,,,,,,,,,,,,,,,r5,,r5,,,,,,,,,,,
r6,r6,r6,r6,s27,s28,s29,s30,,,,,,,,,,,,,,,,,,,r6,,r6,,,,,,,,,,,
r8,r8,r8,r8,r8,r8,r8,r8,s31,s32,,,,,,,,,,,,,,,,,r8,,r8,,,,,,,,,,,
r9,r9,r9,r9,r9,r9,r9,r9,s31,s32,,,,,,,,,,,,,,,,,r9,,r9,,,,,,,,,,,
r10,r10,r10,r10,r10,r10,r10,r10,s31,s32,,,,,,,,,,,,,,,,,r10,,r10,,,,,,,,,,,
r11,r11,r11,r11,r11,r11,r11,r11,s31,s32,,,,,,,,,,,,,,,,,r11,,r11,,,,,,,,,,,
r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,s33,s34,s35,,,,,,,,,,,,,,r13,,r13,,,,,,,,,,,
r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,s33,s34,s35,,,,,,,,,,,,,,r14,,r14,,,,,,,,,,,
r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,,,,,,,,,,r16,,r16,,,,,,,,,,,
r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,r17,,r17,,,,,,,,,,,
r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,,,r18,,r18,,,,,,,,,,,
r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,r34,,r34,,,,,,,,,,,
